0,1,2,3
50951.5,51839.5,58562.5,50456.5
57233.0,57449.5,58809.5,8865.0
53689.5,54003.0,55260.0,56260.5
7124.5,9899.5,9474.5,10534.0
67980.5,50214.0,50781.0,51865.5
53387.5,54348.5,9034.0,6800.5
5571.5,8111.0,7804.5,5892.0
4951.0,7406.0,7412.5,5320.5
5285.5,6623.0,54021.0,4089.5
6713.0,55145.5,55661.0,5715.5
6411.5,54653.0,55508.5,5586.5
6469.5,54493.5,63046.0,7589.0
7123.0,60823.0,60795.5,4604.0
4323.0,4944.0,4811.0,4904.5
4374.0,43101.0,4366.0,4551.0
4455.0,4665.5,4634.0,4879.5
4557.0,5393.0,4949.0,4920.5
4191.5,4882.5,45633.0,4898.5
4317.0,4537.0,47042.0,4659.0
4507.0,4626.0,47258.0,4645.0
10891.0,8679.0,48527.5,8040.0
4146.5,4607.5,45370.0,4634.5
4348.5,5498.5,46203.0,4598.5
4301.5,6341.0,4618.0,5193.0
4177.0,5371.0,4391.5,4794.0
4428.5,4761.5,4568.0,4772.5
4293.5,4948.5,4642.5,4717.5
4458.0,4489.0,4768.5,4996.5
4438.0,5051.0,5152.5,5288.0
4162.0,4491.5,4607.5,5222.5
4216.5,4482.0,4581.0,5411.0
4215.0,8839.0,6697.0,10889.0
21455.5,24641.0,25494.0,26312.5
4318.0,4894.5,4711.0,5040.0
4330.5,4493.0,12831.5,17542.0
16184.5,11877.0,13161.5,11738.5
4608.0,6195.5,7033.0,5142.0
5383.5,6248.5,7294.0,5793.0
4752.0,6892.5,5689.0,5478.5
13303.0,5970.5,7083.0,5289.5
5307.0,6938.5,7254.5,5298.0
5186.0,6453.0,7484.5,5815.5
5145.0,7264.0,16100.0,12158.5
10990.0,7355.0,6600.5,6644.5
4372.5,4523.0,4594.0,5513.5
4478.0,4938.0,4715.0,5453.0
4346.0,5446.0,4736.0,5675.5
4312.5,4343.0,4639.0,5138.0
4447.0,4658.5,4901.0,5718.0
9206.0,12521.5,25463.5,13025.5
4258.0,4333.0,17813.5,4840.0
4318.5,5003.0,4855.0,5009.5
4389.5,5070.0,4708.5,4808.5
4346.5,4680.5,4663.5,4833.0
4414.5,4411.0,4909.0,5134.5
4461.0,4681.0,4775.0,4942.5
5911.0,6283.5,6242.5,11484.0
18487.5,19810.0,16022.0,25576.5
4521.0,4740.5,4824.0,4970.0
4508.5,4695.5,4727.0,4750.5
4327.0,8503.5,9432.0,15661.5
4174.0,4592.0,4659.0,4911.0
4209.0,5000.0,4566.0,4867.5
4254.5,4931.5,4680.0,4873.5
4207.0,4219.0,4537.5,4775.5
5973.5,6104.5,6084.5,4861.0
4210.0,4656.5,4710.5,5065.0
4189.5,4594.0,4798.5,5069.0
4263.0,4498.0,4771.0,4997.0
4343.0,5771.0,4761.5,4921.0
4395.0,5036.0,4638.0,4920.5
20990.5,22149.5,22571.5,22632.0
11795.0,12883.5,12104.5,12329.0
4183.5,4584.0,4485.0,4758.5
4370.0,4806.0,4615.0,4646.5
4300.0,5627.0,4823.0,5093.5
4254.5,4586.5,4593.0,4905.5
4847.0,4808.0,4663.5,4819.0
4468.5,4680.5,4656.0,4673.5
4235.5,5531.0,30747.0,6734.5
6894.5,35520.5,6456.5,6536.5
4963.5,5827.0,5346.5,5569.5
4392.5,4952.5,4724.5,4939.5
4090.5,4534.5,6537.0,5057.0
4316.0,4452.5,4790.0,14696.5
7150.0,5350.0,4582.5,4810.0
4261.5,4602.5,4683.0,5225.0
4628.5,5675.5,4770.5,17092.0
5106.0,14662.5,28462.5,5545.0
5067.5,6345.5,7268.0,5374.0
5358.5,6463.0,6071.0,5747.5
4934.0,7458.5,5771.5,7697.0
4222.5,5681.5,5225.0,6198.0
4520.0,4786.0,4989.0,5565.0
13087.5,11769.0,9940.0,18655.0
4229.5,4566.0,4895.0,5014.5
3970.0,4460.5,4700.0,4907.5
4166.0,4370.5,4578.5,4823.5
4255.5,4960.5,4975.5,4790.0
4426.0,6257.5,5027.0,5223.5
4199.0,4364.0,4712.5,5174.0
4265.0,4539.0,4759.5,4767.0
5560.0,20925.0,17458.0,11300.5
14543.0,14760.5,15480.5,16640.5
4362.0,4551.0,4743.5,5649.5
4342.5,5020.0,4819.5,5322.0
4388.5,5093.5,4638.5,5551.5
4363.5,4969.5,5284.0,5483.0
