0,1,2,3
448318944,-1139991465,-1154696649,-1178297117
-872156028,-1137438921,-1154697752,-1178298623
-872156032,-1137438934,-1154697632,-1178298264
-872155917,-1137438850,-1154697919,-1178298095
-872155984,-1137438889,-1154697982,-1178298077
-872156025,-1137438947,-1154697741,-1178298255
-872156031,-1137438898,-1154698044,-1178298320
-872156030,-1137439092,-1154698046,-1178298359
-872155968,-1137438799,-1154697740,-1178298079
-872155960,-1137439123,-1154698049,-1178298300
