x,y
0.14,-0.39
0.56,-0.04
0.67,-0.01
1.31,0.07
1.3,0.06
0.72,-0.01
0.7,-0.0
0.6,-0.05
1.31,0.06
0.67,0.04
0.63,-0.01
0.72,-0.02
0.63,-0.0
0.65,-0.01
0.64,-0.01
0.65,-0.01
0.64,-0.01
0.69,0.03
0.66,0.03
0.67,0.05
0.66,-0.01
0.69,0.03
0.61,-0.02
0.64,-0.02
0.61,-0.0
