x,y
0.02,-0.01
0.01,0.02
-0.01,0.01
0.02,0.02
-0.01,0.04
-0.01,0.08
0.02,0.04
0.08,-0.05
0.17,-0.11
0.11,-0.05
0.08,-0.02
0.08,-0.02
0.05,0.01
0.08,0.01
0.66,-0.61
0.11,-0.08
0.08,-0.05
0.66,-0.64
0.66,-0.64
0.63,-0.64
-0.01,0.0
-0.01,0.01
-0.01,0.03
-0.01,0.03
-0.01,0.03
