0,1,2,3
35859.0,28626.5,28568.5,28672.5
4582.0,4640.0,4682.5,4723.5
48355.5,48552.0,48416.0,48461.0
52776.0,52832.5,52919.5,52878.5
51892.5,51984.0,51831.5,51940.5
5287.5,5329.5,5379.5,5229.0
49383.0,49347.0,49236.5,49297.5
55492.5,55336.0,55449.0,55394.5
4565.5,51248.5,51159.0,51297.5
4882.0,4934.5,52753.5,4970.5
4654.5,4552.5,53325.0,4607.0
30300.0,23011.0,65521.0,17027.0
4578.5,4633.0,4730.5,4680.5
4567.5,4519.5,4617.5,4697.5
4438.5,4489.5,4578.0,4539.5
6009.5,6063.0,6109.5,6154.5
5706.0,5772.5,5882.0,5819.5
4664.5,4708.0,4808.0,4758.5
4972.5,5028.5,5115.0,5076.0
4536.0,4477.0,4622.5,4571.0
4519.0,4470.5,4565.0,4616.0
4623.5,4680.5,4722.0,4773.0
4636.5,4682.5,4743.5,4781.0
11517.5,11124.5,11426.5,11360.5
15729.0,10844.5,5709.0,10898.0
4699.5,4642.5,4743.0,4787.0
7177.0,7226.5,7262.0,7120.0
5493.5,5335.0,5396.0,5450.5
9184.0,9090.5,9238.5,9146.5
4163.0,4209.5,4342.0,4294.0
5187.0,5126.5,5271.5,5234.5
4261.0,4158.5,4306.5,4219.5
4814.5,4869.5,4955.0,4911.5
6062.5,5967.5,6108.5,6030.0
5370.5,5310.5,5415.5,5466.5
4570.5,4632.5,4678.5,4719.5
4456.0,4508.5,4593.0,4551.0
4415.0,4476.0,4518.0,4569.0
4608.0,4666.0,4706.5,4749.0
4542.0,4482.0,4590.0,4627.5
5175.0,5112.5,5261.5,5215.5
4604.5,4658.5,7941.5,4708.0
6448.5,6394.0,6497.5,6538.5
5224.0,4957.0,5180.5,5138.0
5077.0,5143.0,5226.0,5180.5
4195.5,4257.0,4301.5,4345.5
4788.0,4838.0,4960.5,4888.0
4229.5,4133.0,4182.0,4273.5
4364.5,4314.0,4459.0,4417.0
7552.0,7608.0,7695.5,7646.0
5581.5,5641.0,5736.0,5689.0
4777.0,4827.0,4871.5,4914.0
5163.0,5063.0,5203.0,5116.5
4422.5,4473.0,4567.5,4526.0
4578.0,4517.5,4624.5,4663.5
5144.0,5206.0,5191.5,5291.5
4646.0,4468.5,4528.5,4594.5
7032.0,6989.0,10180.5,6930.5
4907.5,4959.5,5050.0,5006.5
5065.0,5119.5,5220.0,5164.5
4484.5,4538.5,4630.0,4583.5
4423.5,4477.5,4566.0,4519.5
4705.0,4645.0,4747.0,4787.0
4921.5,5166.5,4990.0,5222.0
6756.0,6822.5,6868.5,6959.0
6061.0,6109.5,6024.5,5968.5
5866.0,5823.5,5764.0,5911.0
15919.0,15968.5,15868.5,16014.0
6193.5,6133.5,6236.0,9238.5
4761.0,4659.5,4717.0,4810.5
5079.0,5025.0,5166.0,5126.0
4812.5,4867.0,4949.0,4900.0
4180.0,4281.5,4326.5,4241.0
4323.0,4380.5,4466.5,4426.0
4797.5,4747.5,4890.0,4845.5
4680.5,4736.5,7722.0,4785.5
5833.5,5890.5,5989.0,5939.0
34843.5,21891.5,34798.0,34743.5
4544.5,4399.0,4500.0,4451.0
9630.5,9490.5,9544.0,9588.5
6482.5,6582.5,6680.5,6632.0
6281.5,6333.0,6379.0,6417.5
4444.5,4502.5,4543.0,4591.5
5084.0,5142.5,5237.5,5180.5
4636.5,4500.0,4554.5,4603.0
9077.5,5888.0,5839.5,5780.0
19609.0,12161.0,7380.0,7307.0
4834.5,4886.0,4931.5,4978.5
4684.5,4586.0,4636.5,4720.0
4472.5,4376.5,4437.5,4525.5
4238.0,4289.5,4330.0,4374.0
5737.5,5799.0,5889.5,5849.0
6020.5,5857.0,5971.0,5929.0
4434.5,4494.0,4539.5,4584.5
24845.0,21603.0,24747.0,24799.5
4219.0,4272.5,4365.5,4313.0
5011.0,4863.0,4970.0,4924.5
5037.5,5127.0,5175.5,5081.0
4245.5,4347.0,4389.0,4304.0
4188.5,4237.0,4280.0,4326.5
4433.0,4322.0,4386.5,4485.0
5008.0,5072.5,5157.0,5113.0
5513.0,5605.0,5698.0,5656.0
5392.0,5449.0,5491.5,5535.5
28906.5,9157.0,16230.5,26094.5
4540.0,4594.0,4689.5,4638.0
4500.0,17147.5,4558.5,17094.5
5440.5,5486.5,5581.5,5537.0
5298.5,5359.5,5398.0,5445.0
5247.0,5292.0,5387.5,5342.0
4863.5,4713.5,4773.0,4821.5
4438.0,4383.5,4484.0,4536.0
15597.5,12307.5,12351.5,12247.5
7017.5,6919.0,6970.5,7064.0
11611.5,11662.5,11756.0,11704.0
4217.5,4274.5,4319.0,4373.0
4447.5,4497.5,4549.0,4591.0
4578.5,4633.5,4678.0,4720.0
5534.0,5412.0,5624.0,5585.0
6940.5,6894.5,6839.0,6979.0
4205.5,4262.5,4308.0,4377.5
4562.5,4612.5,4707.5,4664.0
4768.0,4627.5,4723.5,4675.5
4542.5,4392.0,4495.5,4457.5
4551.0,4606.0,4647.5,4689.5
4470.0,4415.5,4521.5,4561.5
4674.5,7476.5,7521.5,7392.0
6126.0,6023.5,6170.5,6075.0
4522.5,4585.0,4673.5,4631.5
5020.0,4876.5,4973.0,4926.5
