x,y
0.46,0.2
-0.16,0.09
-0.26,0.21
-0.15,0.07
-0.12,0.03
-0.14,0.04
-0.15,0.06
-0.16,0.05
-0.15,0.06
-0.14,0.04
-0.14,0.06
-0.16,0.05
-0.16,0.05
-0.13,0.01
-0.12,0.02
-0.15,0.05
-0.13,0.19
-0.07,0.13
-0.16,0.04
-0.09,0.14
-0.15,0.05
-0.17,0.06
-0.05,0.09
-0.13,-0.0
-0.17,0.02
-0.04,0.08
-0.04,0.08
-0.08,0.11
-0.07,0.11
-0.08,0.14
-0.09,0.16
-0.07,0.12
-7.1,8.71
-0.06,0.12
-0.09,0.12
-0.06,0.09
-0.04,0.07
-0.07,0.1
-0.33,-0.16
-0.16,-0.02
-0.05,0.06
-0.04,0.07
-0.05,0.06
-0.05,0.06
-0.12,-0.02
-0.3,-0.19
-0.09,0.01
-0.16,-0.0
-0.12,-0.03
-0.12,-0.03
