x,y
-0.17,-0.62
0.01,-0.81
-37.88,-38.84
-0.1,-1.04
-0.2,-1.11
-0.33,-1.25
-0.29,-1.2
-0.33,-1.25
-0.31,-1.24
-0.31,-1.23
-0.37,-1.3
-0.33,-1.26
-0.59,-1.52
-0.57,-1.5
-0.86,-1.8
-0.83,-1.83
-0.03,-1.0
-0.03,-0.97
-0.76,-1.74
-0.03,-1.02
-0.81,-1.73
-0.78,-1.73
-0.77,-1.75
-0.04,-1.0
-0.04,-1.02
-0.41,-1.41
-0.44,-1.4
-0.42,-1.41
-0.48,-1.44
-0.06,-1.0
0.21,-0.76
-0.04,-1.02
-0.07,-1.01
-0.1,-1.04
-0.08,-1.03
-0.1,-1.05
-0.03,-1.04
-0.03,-1.04
-0.06,-1.02
-0.08,-1.03
-0.08,-1.04
-0.07,-0.97
0.01,-0.98
-0.06,-1.02
-0.04,-1.0
-0.05,-0.99
-0.06,-1.03
-0.04,-1.04
-0.06,-1.03
-0.1,-1.07
