x,y
0.07,-0.14
-0.18,-0.53
-0.23,-0.57
-0.2,-0.54
-0.2,-0.54
-0.24,-0.55
-0.25,-0.56
-0.25,-0.56
-0.2,-0.55
-0.2,-0.55
-0.22,-0.53
-0.19,-0.55
-0.19,-0.55
-0.2,-0.56
-0.19,-0.55
-0.19,-0.56
-0.19,-0.56
-0.19,-0.56
-0.19,-0.56
-0.19,-0.56
-0.19,-0.56
-0.19,-0.57
-0.19,-0.57
-0.18,-0.57
-0.19,-0.57
-0.18,-0.59
-0.19,-0.57
-0.16,-0.59
-0.17,-0.59
-0.17,-0.59
-0.17,-0.6
-0.17,-0.6
-0.17,-0.6
-0.19,-0.59
-0.16,-0.6
-0.17,-0.61
-0.17,-0.61
-0.17,-0.61
-0.18,-0.59
-0.17,-0.61
-0.17,-0.62
-0.17,-0.62
-0.16,-0.62
-0.18,-0.6
-0.16,-0.62
-0.17,-0.63
-0.17,-0.63
-0.16,-0.63
-0.17,-0.63
-0.17,-0.63
