x,y
-0.61,-0.71
0.1,-0.45
0.2,-0.41
0.16,-0.42
0.23,-0.43
0.2,-0.46
0.22,-0.47
0.16,-0.43
0.18,-0.41
0.18,-0.41
0.16,-0.41
0.16,-0.4
0.18,-0.46
0.2,-0.42
0.2,-0.44
0.19,-0.42
0.18,-0.41
0.17,-0.45
0.19,-0.43
0.18,-0.43
0.18,-0.44
0.19,-0.44
0.19,-0.44
0.21,-0.46
0.17,-0.43
0.19,-0.44
0.17,-0.43
0.19,-0.44
0.17,-0.43
0.18,-0.45
0.17,-0.44
0.19,-0.49
0.19,-0.45
0.18,-0.44
0.18,-0.44
0.17,-0.44
0.17,-0.45
0.14,-0.45
0.13,-0.49
0.17,-0.45
0.17,-0.53
0.18,-0.45
0.17,-0.46
0.18,-0.45
0.14,-0.46
0.18,-0.46
0.17,-0.46
0.18,-0.46
0.19,-0.48
0.17,-0.47
