x,y
0.04,-0.16
0.29,-0.05
0.2,-0.06
0.25,-0.01
0.31,0.04
0.31,0.04
0.31,0.04
0.31,0.04
0.31,0.03
0.31,0.04
0.29,0.0
0.31,0.03
0.34,0.05
0.34,0.05
0.33,0.02
0.35,0.05
0.32,0.02
0.34,0.04
0.32,0.02
0.34,0.04
0.33,0.01
0.33,0.02
0.35,0.03
0.33,0.01
0.33,0.01
0.34,0.01
0.33,0.0
0.33,-0.0
0.33,-0.0
0.33,-0.0
0.33,-0.01
0.3,-0.04
0.3,-0.04
0.28,0.09
0.34,-0.02
0.34,-0.02
0.31,-0.05
0.26,0.06
0.23,0.09
0.34,-0.03
0.26,0.05
0.34,-0.03
0.22,0.09
0.27,0.04
0.35,-0.04
0.24,0.07
0.23,0.07
0.23,0.07
0.23,0.07
0.27,0.03
