x,y
0.69,0.03
0.2,0.85
-0.15,0.49
-0.13,0.51
-0.14,0.51
-0.1,0.55
-0.13,0.51
-0.09,0.55
0.19,0.86
0.18,0.86
-0.09,0.54
-0.11,0.56
0.18,0.85
0.2,0.87
0.18,0.85
0.2,0.87
0.2,0.87
0.19,0.87
0.18,0.86
0.2,0.86
0.23,0.85
-0.12,0.49
-0.09,0.53
-0.08,0.53
-0.06,0.44
