x,y
0.78,-0.41
-0.36,-0.65
-0.4,-0.73
0.01,-0.4
0.02,-0.47
-0.01,-0.43
0.02,-0.4
0.02,-0.4
0.04,-0.46
-0.16,-0.59
-0.14,-0.65
0.01,-0.42
-0.24,-0.56
-0.18,-0.54
-0.18,-0.54
-0.14,-0.58
0.02,-0.35
0.0,-0.4
-0.02,-0.39
-0.12,-0.6
0.02,-0.43
0.04,-0.44
-0.03,-0.41
0.07,-0.47
0.03,-0.43
