x,y
-0.14,0.47
0.52,-0.79
0.49,-0.78
0.5,-0.85
0.49,-0.82
0.55,-0.81
0.53,-0.8
0.53,-0.8
0.55,-0.86
0.53,-0.84
0.53,-0.8
0.53,-0.8
0.41,-1.0
0.41,-1.0
0.39,-0.99
0.41,-1.01
0.41,-1.01
0.47,-1.07
0.41,-1.01
0.39,-0.99
0.56,-0.87
0.61,-0.93
0.57,-0.85
0.58,-0.85
0.4,-1.01
