x
0.53
-0.24
-0.22
-0.29
-0.31
-0.34
-0.35
-0.35
-0.36
-0.34
-0.31
-0.34
-0.36
-0.39
-0.28
-0.31
-0.34
-0.33
-0.35
-0.33
-0.33
-0.3
-0.32
-0.28
-0.28
-0.3
-0.33
-0.32
-0.32
-0.31
-0.31
-0.28
-0.28
-0.32
-0.32
-0.3
-0.35
-0.32
-0.3
-0.32
-0.35
-0.3
-0.35
-0.3
-0.32
-0.35
-0.32
-0.31
-0.3
-0.35
