x
-0.19
0.33
0.36
0.36
0.36
0.33
0.33
0.36
0.36
0.37
0.36
0.33
0.34
0.33
0.34
0.34
0.37
0.37
0.34
0.34
0.36
0.36
0.34
0.37
0.34
0.37
0.31
0.31
0.3
0.33
0.36
0.31
0.34
0.37
0.31
0.34
0.31
0.34
0.3
0.31
0.31
0.37
0.31
0.31
0.37
0.31
0.34
0.34
0.34
0.37
