x
0.31
-0.06
-0.1
-0.11
-0.13
-0.11
-0.15
-0.18
-0.21
-0.22
-0.24
-0.24
-0.25
-0.44
-0.42
-0.4
-0.42
-0.41
-0.41
-0.41
-0.34
-0.29
-0.24
-0.21
-0.03
-0.02
0.01
-0.16
0.13
0.14
0.4
0.39
0.67
1.01
0.86
0.87
0.98
0.98
0.67
0.63
0.73
0.22
0.09
0.0
-0.09
-0.14
-0.15
-0.16
-0.15
-0.15
