x
-18.53
0.57
0.55
0.57
0.55
0.35
0.35
0.35
0.35
0.35
0.35
0.35
0.35
0.31
0.26
0.26
0.28
0.29
0.3
0.32
0.31
0.32
0.32
0.32
0.32
0.16
0.3
0.14
0.05
0.29
0.33
0.27
0.16
0.16
0.28
0.3
0.29
0.31
0.29
0.3
0.3
0.3
0.27
0.27
0.3
0.3
0.31
0.32
0.3
0.63
