x
-0.62
0.65
0.57
0.65
0.8
0.54
0.54
0.54
0.53
0.54
0.53
0.53
0.53
0.54
0.54
0.54
0.54
0.54
0.54
0.54
0.54
0.54
0.54
0.5
0.54
0.54
0.53
0.53
0.54
0.54
0.53
-8.99
0.54
0.53
0.53
0.53
0.53
0.53
0.53
0.54
0.53
0.53
0.53
0.55
0.53
0.53
0.53
0.52
0.53
0.53
